frac_migration1  frac_migration2  logmhcrit  prob1  prob2  ssfr1  ssfr2  lnprob
0.1773  0.9031  12.6076  0.8291  0.0518  -10.8348  -9.0141  -0.4794
0.2920  0.4510  12.7484  0.6596  0.8012  -11.1196  -9.7383  -0.1000
0.5556  0.5649  12.5257  0.1799  0.3842  -11.1071  -9.9001  -0.0568
0.9895  0.8173  12.3217  0.6418  0.1250  -11.0409  -9.2778  -0.0508
0.0008  0.2124  12.4198  0.5159  0.7091  -10.8531  -9.1649  -0.4960
0.5649  0.8032  12.3291  0.3075  0.9705  -10.9949  -9.4760  -0.2491
0.7126  0.5448  12.4970  0.2463  0.9778  -11.0402  -9.9426  -0.3546
0.1877  0.6997  12.3684  0.1571  0.8713  -11.0514  -9.3629  -0.1454
0.5476  0.1179  12.3076  0.7331  0.1478  -10.9839  -9.9859  -0.1319
0.9336  0.6494  12.6099  0.1445  0.5600  -11.1089  -9.3763  -0.2249
0.4221  0.5545  12.6675  0.7901  0.9163  -10.8209  -9.2014  -0.1102
0.5727  0.7125  12.3470  0.4213  0.5144  -10.8143  -9.2783  -0.0678
0.9140  0.3787  12.0225  0.5668  0.3796  -11.2273  -9.7332  -inf
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.1773  0.9031  12.6076  0.8291  0.0518  -10.8348  -9.0141  -0.4794
0.3023  0.4542  12.7462  0.6514  0.7973  -11.1194  -9.7325  -0.0951
0.5556  0.5649  12.5257  0.1799  0.3842  -11.1071  -9.9001  -0.0568
0.9895  0.8173  12.3217  0.6418  0.1250  -11.0409  -9.2778  -0.0508
0.3036  0.2675  12.2881  0.5328  0.5999  -10.9771  -9.3533  -0.1125
0.5649  0.8032  12.3291  0.3075  0.9705  -10.9949  -9.4760  -0.2491
0.6162  0.6381  12.5264  0.1946  0.8784  -10.9914  -9.8693  -0.2457
0.1877  0.6997  12.3684  0.1571  0.8713  -11.0514  -9.3629  -0.1454
0.5476  0.1179  12.3076  0.7331  0.1478  -10.9839  -9.9859  -0.1319
0.9336  0.6494  12.6099  0.1445  0.5600  -11.1089  -9.3763  -0.2249
0.4221  0.5545  12.6675  0.7901  0.9163  -10.8209  -9.2014  -0.1102
0.5714  0.7282  12.3439  0.4016  0.5933  -10.8455  -9.3125  -0.0915
0.9140  0.3787  12.0225  0.5668  0.3796  -11.2273  -9.7332  -inf
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.1773  0.9031  12.6076  0.8291  0.0518  -10.8348  -9.0141  -0.4794
0.3023  0.4542  12.7462  0.6514  0.7973  -11.1194  -9.7325  -0.0951
0.5556  0.5649  12.5257  0.1799  0.3842  -11.1071  -9.9001  -0.0568
0.9895  0.8173  12.3217  0.6418  0.1250  -11.0409  -9.2778  -0.0508
0.3036  0.2675  12.2881  0.5328  0.5999  -10.9771  -9.3533  -0.1125
0.5649  0.8032  12.3291  0.3075  0.9705  -10.9949  -9.4760  -0.2491
0.6162  0.6381  12.5264  0.1946  0.8784  -10.9914  -9.8693  -0.2457
